epoch,train_loss,val_loss,train_acc,val_acc
1,1.1826765401433683,0.8896199239022804,52.54024144869215,64.57739791073125
2,0.8816109490618309,0.7798896030043111,66.74211938296445,69.75308641975309
3,0.7579482681150411,0.6487970081242648,72.70288397048961,76.21082621082621
4,0.6836453683414664,0.6580127676328024,75.88028169014085,74.73884140550807
5,0.6300815919928512,0.5587531684926061,78.39537223340041,81.10161443494776
6,0.5859826976987695,0.5171428162491682,80.22300469483568,82.14624881291547
7,0.5412986267747573,0.5380705773378863,81.7655935613682,81.29154795821462
8,0.5202233789753339,0.5294803536751054,82.28537894030852,81.19658119658119
9,0.4826550142934431,0.4857796717322234,82.74647887323944,83.28584995251661
10,0.47716199920260555,0.5041561722755432,83.09020791415158,81.81386514719848
11,0.44489983075745304,0.4940682870872093,84.43158953722335,82.62108262108262
12,0.44395789803672414,0.47184394966020726,84.37290409121395,83.5707502374169
13,0.4260311993413253,0.44374175708402286,85.43762575452716,84.37796771130104
14,0.4202149585888149,0.5210149019505038,85.52984574111335,82.76353276353277
15,0.3932010172479274,0.532854331262184,86.08316566063046,82.28869895536562
16,0.3913615646974331,0.4402777790797479,86.09154929577464,84.61538461538461
17,0.38268310902265695,0.48488187157746515,86.66163648558015,83.2383665716999
18,0.37924176504480933,0.43908403475176205,86.67002012072435,84.85280151946819
19,0.36833958255861143,0.44451832285884657,87.16465459423206,84.04558404558405
20,0.35727138078244697,0.42499017534833966,87.77665995975855,85.09021842355176
21,0.36455839414938523,0.48060959419517807,87.39939637826961,83.85565052231719
22,0.3391292828357411,0.4523545185273344,88.11200536552649,84.75783475783476
23,0.33112704554128264,0.4241063982022531,88.45573440643864,84.9002849002849
24,0.3234452472615178,0.44668254752953845,88.71562709590879,84.99525166191833
25,0.31856516085505165,0.4539352479306134,88.95875251509054,84.85280151946819
26,0.30857280909455814,0.45937126513683435,89.15995975855131,84.5679012345679
27,0.3119819210218041,0.4845244791923147,89.2437961099933,84.80531813865147
28,0.2654316738028149,0.4200124198740179,90.61871227364185,86.08736942070276
29,0.24596150492595123,0.4379074318390904,91.23910127431255,85.42260208926875
30,0.23918317152491844,0.4318587957232287,91.35647216633132,86.37226970560305
31,0.24065837887273078,0.4234655980359424,91.33132126089872,87.55935422602089
32,0.23490213836485835,0.46530579030513763,91.38162307176391,86.18233618233619
33,0.20608844911684618,0.42094322711680876,92.74815560026828,87.13200379867047
34,0.20205635948970554,0.4356071701781316,92.6056338028169,86.84710351377018
35,0.19303455670181932,0.4470925311924833,92.95774647887323,86.8945868945869
